Zeit	spH	spO2	NStirrer	sTR	sCO2	sO2	FAirIn	sVR	Zeit_FG	FGlucose	Zeit_FN	Fstickstoff
05:18:01.526000	7.1	10.3	500.0	23.8	1.9	9.1	9.0	6.1	2024-10-1308:45:27	2.0	2024-10-1308:45:27	1.0
05:20:01.536000	7.1	10.3	500.0	23.8	1.9	9.1	9.0	6.1	2024-10-1308:45:32	2.0	2024-10-1308:45:32	1.0
05:22:01.546000	7.1	10.3	500.0	23.9	1.9	9.1	9.0	6.1	2024-10-1308:45:37	2.0	2024-10-1308:45:37	1.0
05:24:01.555000	7.1	10.3	500.0	23.9	1.9	9.1	9.0	6.1	2024-10-1308:45:42	2.0	2024-10-1308:45:42	1.0
05:26:01.565000	7.1	10.3	500.0	24.0	1.9	9.1	9.0	6.1	2024-10-1308:45:47	2.0	2024-10-1308:45:47	1.0
05:28:01.574000	7.1	10.3	500.0	24.0	1.9	9.1	9.0	6.1	2024-10-1308:45:52	2.0	2024-10-1308:45:52	1.0
05:30:01.584000	7.1	10.3	500.0	24.0	1.9	9.1	9.0	6.1	2024-10-1308:45:57	2.0	2024-10-1308:45:57	1.0
05:32:01.594000	7.1	10.3	500.0	24.1	1.9	9.1	9.0	6.1	2024-10-1308:46:02	2.0	2024-10-1308:46:02	1.0
05:34:01.603000	7.1	10.3	500.0	24.1	1.9	9.1	9.0	6.1	2024-10-1308:46:07	2.0	2024-10-1308:46:07	1.0
05:36:01.613000	7.1	10.3	500.0	24.2	1.9	9.1	9.0	6.1	2024-10-1308:46:12	2.0	2024-10-1308:46:12	1.0
05:38:01.622000	7.1	10.3	500.0	24.2	1.9	9.1	9.0	6.1	2024-10-1308:46:17	2.0	2024-10-1308:46:17	1.0
05:40:01.632000	7.1	10.3	500.0	24.3	1.9	9.1	9.0	6.1	2024-10-1308:46:22	2.0	2024-10-1308:46:22	1.0
05:42:01.642000	7.1	10.3	500.0	24.3	1.9	9.1	9.0	6.1	2024-10-1308:46:27	2.0	2024-10-1308:46:27	1.0
05:44:01.651000	7.1	10.3	500.0	24.4	1.9	9.1	9.0	6.1	2024-10-1308:46:32	2.0	2024-10-1308:46:32	1.0
05:46:01.661000	7.1	10.3	500.0	24.4	1.9	9.1	9.0	6.1	2024-10-1308:46:37	2.0	2024-10-1308:46:37	1.0
